entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
LOCATION,Guatemala,1,0,0.0588,0.0,0.588,5,0,0.000202,0.0
LOCATION,Hong Kong,1,0,0.0588,0.0,0.588,5,0,0.000201,0.0
LOCATION,India,1,0,0.0588,0.0,0.588,5,0,0.000348,0.0
LOCATION,Morocco,1,0,0.0588,0.0,0.588,5,0,0.00019,0.0
LOCATION,Spain,1,0,0.0588,0.0,0.588,10,0,0.000179,0.0
LOCATION,Italy,1,0,0.0588,0.0,0.588,10,0,0.000322,0.0
LOCATION,Belgium,1,0,0.0588,0.0,0.588,10,0,0.000361,0.0
LOCATION,Portugal,1,0,0.0588,0.0,0.588,5,0,0.000255,0.0
LOCATION,Taiwan,1,0,0.0588,0.0,0.588,10,0,0.000168,0.0
LOCATION,Nicaragua,1,0,0.0588,0.0,0.588,5,0,0.000188,0.0
LOCATION,‫ال,1,0,0.0588,0.0,0.588,15,0,0.00134,0.0
LOCATION,ecommerce platforms,1,0,0.0588,0.0,0.588,1,0,0.001992,0.0
LOCATION,United Kingdom,1,0,0.0588,0.0,0.588,5,0,0.000362,0.0
LOCATION,Sweden,1,0,0.0588,0.0,0.588,10,0,0.000169,0.0
LOCATION,中國,1,0,0.0588,0.0,0.588,5,0,0.000214,0.0
LOCATION,Panamá,1,0,0.0588,0.0,0.588,5,0,0.000301,0.0
LOCATION,Iceland,1,0,0.0588,0.0,0.588,5,0,0.0002,0.0
LOCATION,initiation confirmation,1,0,0.0588,0.0,0.588,1,0,0.000341,0.0
LOCATION,Ireland,1,0,0.0588,0.0,0.588,5,0,0.000199,0.0
LOCATION,Philippines,1,0,0.0588,0.0,0.588,5,0,0.000185,0.0
LOCATION,Venezuela,1,0,0.0588,0.0,0.588,5,0,0.000165,0.0
LOCATION,New Zealand,1,0,0.0588,0.0,0.588,5,0,0.000473,0.0
LOCATION,Lithuania,1,0,0.0588,0.0,0.588,10,0,0.000194,0.0
